Rating Name MC "MD, %"
1 "Bitcoin (Биткоин)" 121,320,882,254,806 55.08
2 "Ethereum (Эфириум)" 37,080,904,548,581 16.83
3 "Tether (Тезер)" 10,229,834,614,009 4.64
4 BNB 8,396,461,205,479 3.81
5 "Solana (Солана)" 6,593,239,245,805 2.99
6 USDC 3,118,720,284,971 1.42
7 XRP 2,778,988,048,077 1.26
8 "Dogecoin (Догекоин)" 2,176,966,862,944 0.99
9 "Toncoin (Тонкоин)" 1,858,088,034,543 0.84
10 "Cardano (Кардано)" 1,644,347,116,296 0.75
11 "Shiba Inu (Шиба-ину)" 1,490,167,192,249 0.68
12 "Avalanche (Аваланч)" 1,370,825,358,753 0.62
13 "Polkadot (Полькадот)" 988,697,210,813 0.45
14 "TRON (ТРОН)" 923,252,484,775 0.42
15 "Bitcoin Cash (Биткоин-кэш)" 923,638,713,063 0.42
16 "Chainlink (Чейнлинк)" 847,904,489,472 0.38
17 "Polygon (Полигон)" 693,819,876,760 0.31
18 "NEAR Protocol" 692,069,459,287 0.31
19 "Internet Computer (Интернет-компьютер)" 631,085,032,882 0.29
20 "Litecoin (Лайткоин)" 597,864,502,773 0.27
21 Dai 495,209,921,294 0.22
22 "UNUS SED LEO" 494,837,649,081 0.22
23 "Uniswap (Юнисвап)" 452,848,253,635 0.21
24 Hedera 425,122,036,638 0.19
25 "First Digital USD" 401,625,576,352 0.18
26 Stacks 388,718,548,225 0.18
27 Aptos 389,423,108,210 0.18
28 "Ethereum Classic" 382,485,755,093 0.17
29 Mantle 348,296,475,584 0.16
30 Render 329,490,511,853 0.15
31 Filecoin 327,452,580,848 0.15
32 Immutable 326,759,677,786 0.15
33 dogwifhat 326,677,615,223 0.15
34 Cronos 324,921,670,119 0.15
35 Cosmos 319,697,287,891 0.15
36 Stellar 319,403,253,366 0.15
37 Pepe 308,776,443,036 0.14
38 OKB 308,833,095,026 0.14
39 Bittensor 307,903,895,951 0.14
40 Arbitrum 293,683,999,025 0.13
41 VeChain 287,249,630,910 0.13
42 Kaspa 280,746,145,483 0.13
43 "The Graph" 259,180,310,294 0.12
44 Maker 257,399,346,060 0.12
45 Injective 252,490,597,460 0.11
46 Optimism 251,736,704,600 0.11
47 "Theta Network" 230,001,543,583 0.1
48 Monero 207,783,144,149 0.09
49 Core 206,831,579,773 0.09
50 Fetch.ai 205,103,232,851 0.09
51 Arweave 204,001,913,520 0.09
52 Fantom 196,557,408,945 0.09
53 Celestia 195,308,577,936 0.09
54 THORChain 181,993,404,341 0.08
55 "Lido DAO" 179,361,987,240 0.08
56 FLOKI 178,930,080,732 0.08
57 Algorand 169,224,238,816 0.08
58 Bonk 167,751,390,321 0.08
59 Sei 165,891,001,170 0.08
60 "Bitget Token" 160,628,242,985 0.07
61 Sui 159,776,687,820 0.07
62 Jupiter 151,651,621,895 0.07
63 Gala 144,412,734,274 0.07
64 Beam 144,316,585,077 0.07
65 Pendle 140,791,635,520 0.06
66 Flow 141,357,681,798 0.06
67 Aave 132,332,391,904 0.06
68 "Bitcoin SV" 131,950,563,830 0.06
69 Ethena 128,862,385,834 0.06
70 SingularityNET 126,329,895,440 0.06
71 Quant 126,468,119,818 0.06
72 Neo 121,800,725,268 0.06
73 "BitTorrent (New)" 119,013,710,263 0.05
74 Ondo 117,960,290,711 0.05
75 Flare 115,982,657,227 0.05
76 "Akash Network" 113,605,559,650 0.05
77 MultiversX 112,537,957,974 0.05
78 "Axie Infinity" 111,059,522,140 0.05
79 "The Sandbox" 105,253,802,160 0.05
80 "dYdX (Native)" 104,131,255,255 0.05
81 Chiliz 102,099,544,402 0.05
82 Ronin 102,126,169,006 0.05
83 eCash 100,924,161,519 0.05
84 Wormhole 100,013,303,312 0.05
85 Worldcoin 98,698,387,244 0.04
86 Tezos 96,558,157,501 0.04
87 Conflux 96,233,927,538 0.04
88 Mina 95,706,915,593 0.04
89 JasmyCoin 95,049,472,508 0.04
90 Synthetix 94,347,741,695 0.04
91 ORDI 94,137,163,216 0.04
92 "Pyth Network" 93,620,637,776 0.04
93 "KuCoin Token" 91,334,590,532 0.04
94 EOS 91,065,439,255 0.04
95 Starknet 91,529,485,339 0.04
96 Gnosis 88,412,859,698 0.04
97 Decentraland 87,930,014,226 0.04
98 "Nervos Network" 83,794,097,871 0.04
99 IOTA 77,784,789,789 0.04
100 Kava 77,310,823,093 0.04
